Id,Img,Nome,Nível,Tipo,Ability,Ability 2,HP,Atk,SpAtk,Def,SpDef,Spe,Male/Fem
51,,Pegazeus,50-100,Eletric,Blitzkrieg,,250,59,59,57,58,70,50/50
52,,Kitthunder,0-24,Eletric,Blitzkrieg,,125,13,14,3,4,19,50/50
53,,Cathunder,25-49,Eletric,Blitzkrieg,,175,38,39,28,29,44,50/50
54,,Cheethunder,50-100,Eletric,Blitzkrieg,,225,63,64,53,54,69,50/50
55,,Snowbear,0-24,Ice,Intimidation,,175,15,13,10,10,5,50/50
56,,Bearfrost,25-49,Ice,Intimidation,,225,40,38,35,35,30,50/50
57,,Odinbear,50-100,Ice,Intimidation,,275,65,63,60,60,55,50/50
58,,Prinpen,0-24,Ice,Royalty,,150,3,14,14,15,7,60/40
59,,Kingpen,25-49,Ice,Royalty,,200,28,39,39,40,32,60/40
60,,Empenguin,50-100,Ice,Royalty,,250,53,64,64,65,57,60/40
61,,Snowtail,0-24,Ice,Trickster,,125,11,13,8,8,13,40/60
62,,Onifox,25-49,Ice,Trickster,,175,36,38,33,33,38,40/60
63,,Frostsune,50-100,Ice,Trickster,,225,61,63,58,58,63,20/80
64,,Dragoon,50,Fire,Domain Ruler,,350,79,80,78,77,76,
65,,Griffon,50,Air,Domain Ruler,,350,79,76,78,77,80,
66,,Yggdrasil,50,Plant,Domain Ruler,,350,77,78,79,80,76,
67,,Leviathan,50,Water,Domain Ruler,,350,80,78,77,76,79,
68,,Jormungand,50,Rock,Domain Ruler,,350,79,77,80,78,76,
69,,Thunderoar,50,Eletric,Domain Ruler,,350,78,79,76,77,80,
70,,Yeti,50,Ice,Domain Ruler,,350,80,79,78,77,76,
